approveDate,articleID,articleWordCount,commentBody,commentID,commentSequence,commentTitle,commentType,createDate,depth,editorsSelection,inReplyTo,newDesk,parentID,parentUserDisplayName,permID,picURL,printPage,recommendations,recommendedFlag,replyCount,reportAbuseFlag,sectionName,sharing,status,timespeople,trusted,updateDate,userDisplayName,userID,userLocation,userTitle,userURL,typeOfMaterial
1483455908,58691a5795d0e039260788b9,1324,"For all you Americans out there --- still rejoicing over the majority win of  Republicans over the Legislature of this land.<br/>Beware.<br/>Just like you would have been, if  there were any other kind of majority.<br/>The Founding Fathers had something like this in mind wheh they formed our Great Nation.<br/>It's part of the natural 'Checks &amp; Balances' system that keeps this country on an even keel.<br/>But this is now being threatened -- with the majority of Executive, Legislative and Judidical power all in the hands of one political party.<br/>See to it that you remember our U.S. Constitution, and our Bill of Rights.<br/>Remember that ""We"", are still ""the People"".<br/>America belongs to all of us.<br/>And God help us all.",20969730.0,20969730.0,<br/>,comment,1483426105,1.0,0,0,National,0.0,,20969730,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1,5,,0,,Politics,0,approved,1,0,1483455908,N. Smith,64679318.0,New York City,,,News
1483455656,58691a5795d0e039260788b9,1324,Obamas policies may prove to be the least of this countrys worries.  The GOP has been emboldened to actually cut the OCE in the night before the new president or congress is sworn in following in their leaders footsteps.  Everyone is crying foul including the GOP leadership and conservative think tanks.  How about a twitter regarding the swamp draining tonight?,20969325.0,20969325.0,<br/>,comment,1483417407,1.0,0,0,National,0.0,,20969325,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1,3,,0,,Politics,0,approved,1,0,1483455656,Kilocharlie,69254188.0,Phoenix,,,News
1483455655,58691a5795d0e039260788b9,1324,Democrats are comprised of malcontents who generally have never worked a day in their lives and thrive on handouts from the Govt; fire  1/2 of the Govt. non workers and save billions Trust is earned and our elected officials have not earned our trust. The don't adhere to the U.S. Constitution as it restricts their movement. Thank goodness for the 2nd Amendment and the NRA or they would have already enslaved us.,20969855.0,20969855.0,<br/>,comment,1483431433,1.0,0,0,National,0.0,,20969855,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1,3,,0,,Politics,0,approved,1,0,1483455655,Frank Fryer,76788711.0,Florida,,,News
1483455653,58691a5795d0e039260788b9,1324,"The picture in this article is the face of congressional leadership. It would seem that only Harry Reid seemed to know that his time has passed. Conversely, so should Mitch McConnell, his Times has come and gone, he forces people his own age to retire while he goes on being a Senator.<br/><br/>The Senator's ideas, and ways of thinking are no longer mainstream, he hasn't the political will or the intestinal fortitude that it will take to keep his president from running this country into the ground. It's time that our elected representatives have term limits imposed. Mitch McConnell was raised in a white mans world, where women were excluded. Even though he never throughly supported Trump. Yet, his wife gets a cabinet appointment, the GOP leadership lead by McConnell, strips down the only department that makes any real sense was the independent ethics board. Under the guise of how much better, how much more stream line, the ethics complaints will be handled. Essentially, setting it up for their president to enrich himself as he always had, and does, only no ethics rules won't apply anymore. More and more this isn't a country by the people and for the people. No it's becoming a country of the have and have nots, and us being the have nots, will shortly have lots less.<br/><br/>The Democrats would be right in using  the emolument clause and the constitutional issues Trump will bring, against the GOP, offer them as much help as they offered Obama, and by extension us the citizens of this country.",20969407.0,20969407.0,<br/>,comment,1483418853,1.0,0,0,National,0.0,,20969407,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1,3,,0,,Politics,0,approved,1,0,1483455653,James Young,72718862.0,Seattle,,,News
1483455216,58691a5795d0e039260788b9,1324,Elections have consequences.,20969274.0,20969274.0,n/a,comment,1483416766,1.0,0,0,National,0.0,,20969274,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1,3,,0,,Politics,0,approved,1,0,1483455216,M.,7529267.0,Seattle,,,News
1483415940,58691a5795d0e039260788b9,1324," Shakespeare showed us that  appetite brings  its own revenge, as ambition   chokes on its own excess and  consumes itself in the process- ",20969203.0,20969203.0,<br/>,comment,1483415704,1.0,0,0,National,0.0,,20969203,http://graphics8.nytimes.com/images/apps/timespeople/none.png,1,9,,0,,Politics,0,approved,1,0,1483415940,John Quixote,13808711.0,NY NY,,,News
1483415765,58691a5795d0e039260788b9,1324,"""Obama Policies Are in Peril as New Congress Takes Over""<br/>=<br/>God is good, these days",20969153.0,20969153.0,<br/>,comment,1483415063,1.0,0,0,National,0.0,,20969153,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1,5,,1,,Politics,0,approved,1,0,1483415765,fortress America,3985142.0,nyc,,,News
1483415765,58691a5795d0e039260788b9,1324,"I'm glad to hear the Republicans are chomping at the bit to pass Republican legislation.  Would that be like Nixon's call for for a basic minimum  income (no, I didn't say minimum wage, I said living yearly INCOME like Nixon said).  An amount that would guarantee all citizens of enough money to live modestly.  Or maybe it would be like GOP Romneycare in Massachusetts that was passed long before Obamacare which was in most ways modeled upon it.  But…oh thats right, those things were put forth by another, earlier, Republican party.  Sort of like the much earlier Republican party that rejected slavery and wanted equality for all its citizens after the Civil War.",20969151.0,20969151.0,<br/>,comment,1483415030,1.0,0,0,National,0.0,,20969151,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1,18,,0,,Politics,0,approved,1,0,1483415765,richard,65543878.0,Guil,,,News
1483415765,58691a5795d0e039260788b9,1324,A typical Banana Republic deal.,20969147.0,20969147.0,<br/>,comment,1483414995,1.0,0,0,National,0.0,,20969147,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1,4,,0,,Politics,0,approved,1,0,1483415765,Cesar,65968698.0,<br/>,,,News
1483415499,58691a5795d0e039260788b9,1324,"Well, Mitch you haven't done anything for eight years, so you should be rested.",20969103.0,20969103.0,<br/>,comment,1483414362,1.0,0,0,National,0.0,,20969103,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1,25,,0,,Politics,0,approved,1,0,1483415499,Darsan54,24037889.0,"Grand Rapids, MI",,,News
1483415499,58691a5795d0e039260788b9,1324,Politics. What is it? …to Gain and maintain Power…or to look after the common good of the people?<br/>It is 2017 and yet we are engaged in confrontations that benefit no one but or ego and selfishness. It is time we work towards a betterment for all mankind.<br/>Both Republicans and Democrats alike should take note and end the dogfights of selfishness.,20969096.0,20969096.0,<br/>,comment,1483414230,1.0,0,0,National,0.0,,20969096,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1,7,,0,,Politics,0,approved,1,0,1483415499,Hubert Daisley,76075664.0,Trinidad W.I,,,News
