approveDate,articleID,articleWordCount,commentBody,commentID,commentSequence,commentTitle,commentType,createDate,depth,editorsSelection,inReplyTo,newDesk,parentID,parentUserDisplayName,permID,picURL,printPage,recommendations,recommendedFlag,replyCount,reportAbuseFlag,sectionName,sharing,status,timespeople,trusted,typeOfMaterial,updateDate,userDisplayName,userID,userLocation,userTitle,userURL
1519852022,5a7101c110f40f00018be961,1322,"I typically strongly dislike articles which bring up such tiny disadvantages to women. But this article I liked. It mentioned, “with many female politicians being replaced by male lawmakers who have pushed for legislation to limit women’s access to abortion,” which would normally tick my non-feminist self off in a regular old article, but I feel as though the beating of their drums are beating a new perspective in my heart. The Bahia group is going against cultural norms by becoming the “first all-female bloco-afro in Brazil” and that problem was certainly not tiny. They are drumming for their rights as women. They are drumming for their rights of their race. This article has influenced me to stand for any matter I want to defend with determination just as these women did in Banda Dida.",26156416.0,26156416.0,<br/>,comment,1519849555,1.0,False,0,Travel,0.0,,26156416,https://graphics8.nytimes.com/images/apps/timespeople/none.png,5,1,,0,,Unknown,0,approved,0,0,News,1519852022,Emma Claire Lisk,83288014.0,"Wilmington, NC",,
1518469135,5a7101c110f40f00018be961,1322,"I went to Cuba twice in 1998-9 to study Afro-Cuban drumming.  I am a woman.  I didn't experience any prejudice--I suppose money silences that--but we also visited Matanzas, where we listened to stellar drummers in the home of a woman who was the leader of the group.  Unusual, not unheard of.",25930059.0,25930059.0,<br/>,comment,1518458548,1.0,False,0,Travel,0.0,,25930059,https://graphics8.nytimes.com/images/apps/timespeople/none.png,5,0,,0,,Unknown,0,approved,1,0,News,1518469135,Eyes Open,53167641.0,San Francisco,,
1518385379,5a7101c110f40f00018be961,1322,"I don't think this is really all that new: I was in Salvador, Brasil in August 2013.  There was an all female drumming group that performed near the Pelourinho that blew the crowd away with their energy and skill.  Perhaps it wasn't ""Dida"" that I saw, but it was a large organized group of women drummers.",25912292.0,25912292.0,<br/>,comment,1518304930,1.0,False,0,Travel,0.0,,25912292,https://graphics8.nytimes.com/images/apps/timespeople/none.png,5,1,,1,,Unknown,1,approved,1,0,News,1518385379,Mark Pepp,44043675.0,Chicago,,
1517986719,5a7101c110f40f00018be961,1322,I was in Salvador last month and got to see Dida before attending the ballet show in pelourinho. THEY ARE AMAZING and I’m excited to return and go to one of their performances. I’ve always admired female drummers.,25864174.0,25864174.0,<br/>,comment,1517980671,1.0,False,0,Travel,0.0,,25864174,https://graphics8.nytimes.com/images/apps/timespeople/none.png,5,0,,0,,Unknown,0,approved,0,0,News,1517986719,Devonta,84748907.0,"New York, NY",,
1517945037,5a7101c110f40f00018be961,1322,"Why is it that men take it upon themselves to (try to) determine where and in what capacity women can exist?  Listen up men, we've had enough of your controlling behavior and we're not going to take it any more.  Time's up!",25855991.0,25855991.0,<br/>,comment,1517938058,1.0,False,0,Travel,0.0,,25855991,https://graphics8.nytimes.com/images/apps/timespeople/none.png,5,12,,0,,Unknown,0,approved,1,0,News,1517945037,EDC,25854823.0,Colorado,,
1517945011,5a7101c110f40f00018be961,1322,Opa!,25851214.0,25851214.0,<br/>,comment,1517916102,1.0,False,0,Travel,0.0,,25851214,https://graphics8.nytimes.com/images/apps/timespeople/none.png,5,1,,0,,Unknown,0,approved,1,0,News,1517945011,Robert in Brasil,37084925.0,Brasil,,
1517945003,5a7101c110f40f00018be961,1322,Not necessarily the death knell for majorettes.,25851450.0,25851450.0,<br/>,comment,1517918817,1.0,False,0,Travel,0.0,,25851450,https://graphics8.nytimes.com/images/apps/timespeople/none.png,5,0,,0,,Unknown,0,approved,1,0,News,1517945003,William,28180820.0,Westchester,,
1517804923,5a7101c110f40f00018be961,1322,Bahia is definitely one of my favorite places on earth. What's not to love about a city closing down its center on a Tuesday night so that we can party with Olodum all night long?!,25829984.0,25829984.0,<br/>,comment,1517762060,1.0,False,0,Travel,0.0,,25829984,https://graphics8.nytimes.com/images/apps/timespeople/none.png,5,2,,0,,Unknown,0,approved,1,0,News,1517804923,JBK007,27581854.0,Boston,,
1517525636,5a7101c110f40f00018be961,1322,"Yes women, just do it! Out there is much more freedom than you might expect. Btw. I, a white hetero women, started playing the drums and riding large motorcycles 40 years ago (without any involvement of a man).",25777066.0,25777066.0,<br/>,comment,1517428315,1.0,False,0,Travel,0.0,,25777066,https://graphics8.nytimes.com/images/apps/timespeople/none.png,5,6,,0,,Unknown,0,approved,1,0,News,1517525636,Renate,43839882.0,WA,,
1517525624,5a7101c110f40f00018be961,1322,"Drumming also makes you go deaf early. But, hey look at that posture and those upper arms. More power to you!",25790496.0,25790496.0,<br/>,comment,1517505985,1.0,False,0,Travel,0.0,,25790496,https://graphics8.nytimes.com/images/apps/timespeople/none.png,5,4,,0,,Unknown,0,approved,1,0,News,1517525624,San Francisco Voter,36234712.0,San Francisco,,
