approveDate,articleID,articleWordCount,commentBody,commentID,commentSequence,commentTitle,commentType,createDate,depth,editorsSelection,inReplyTo,newDesk,parentID,parentUserDisplayName,permID,picURL,printPage,recommendations,recommendedFlag,replyCount,reportAbuseFlag,sectionName,sharing,status,timespeople,trusted,updateDate,userDisplayName,userID,userLocation,userTitle,userURL,typeOfMaterial
1486065741,58927e0495d0e0392607e1b3,1129,ANY anti Trump propaganda from Gaga and my TV goes off immediately and I will never watch the NFL again. They hired her and are responsible for any unsavory political speech she may spew.,21332974.0,21332974.0,<br/>,comment,1486012098,1.0,0,0,Sports,0.0,,21332974,https://graphics8.nytimes.com/images/apps/timespeople/none.png,12,0,,0,,Pro Football,0,approved,1,0,1486065741,vilonia,68372461.0,"conway, ar",,,News
1486055271,58927e0495d0e0392607e1b3,1129,"I'll not watch the SB, nor the grammys or oscars.  The entertainment complex, and that includes major league sports, gone all-in with the left.  Same with most live music events.  I am done with it all.  ",21332861.0,21332861.0,<br/>,comment,1486010707,1.0,0,0,Sports,0.0,,21332861,https://graphics8.nytimes.com/images/apps/timespeople/none.png,12,0,,0,,Pro Football,0,approved,1,0,1486055271,Joe Schultz,73635333.0,"Hays, KS",,,News
1486055240,58927e0495d0e0392607e1b3,1129,"NFL's going to do another ""in-your-face, America"" Super Bowl halftime show.  No election next year to blame another major drop in viewership, though.  Bye-bye, NFL.  You chose politics over football and you lost.",21332686.0,21332686.0,n/a,comment,1486008502,1.0,0,0,Sports,0.0,,21332686,https://graphics8.nytimes.com/images/apps/timespeople/none.png,12,0,,0,,Pro Football,0,approved,1,0,1486055240,WilliamPenn2,61340508.0,Tacony,,,News
1486055221,58927e0495d0e0392607e1b3,1129,"I'm continually amazed at the ill-placed credence afforded poorly or under educated Hollywood celebs and professional athletes...like these performers have a greater voice than real Americans who have pursued lives and careers, worshiped privately, raised families and paid their taxes.   ",21332622.0,21332622.0,<br/>,comment,1486007775,1.0,0,0,Sports,0.0,,21332622,https://graphics8.nytimes.com/images/apps/timespeople/none.png,12,0,,0,,Pro Football,0,approved,1,0,1486055221,Jeff Palmer,72632699.0,"Shiloh, IL",,,News
1486055214,58927e0495d0e0392607e1b3,1129,"Personally, I do not want to see any politics at all during a game from the left or right and none interjected into halftime.",21332516.0,21332516.0,<br/>,comment,1486006590,1.0,0,0,Sports,0.0,,21332516,https://graphics8.nytimes.com/images/apps/timespeople/none.png,12,0,,0,,Pro Football,0,approved,1,0,1486055214,Matt1234,60683284.0,Seattle,,,News
1486055177,58927e0495d0e0392607e1b3,1129,"Kaepernick and his fellow spoiled punks was the last straw for me, as well as quite a few folks I know.<br/>Just as Hollywood ""celebrities"" who think that their opinions are important should shut their mouths and act, NFL ""celebrities"" who disrespect the flag should get up off their knees and play football. I am not remotely interested in their opinions or their 'causes'.",21332490.0,21332490.0,<br/>,comment,1486006277,1.0,0,0,Sports,0.0,,21332490,https://graphics8.nytimes.com/images/apps/timespeople/none.png,12,0,,0,,Pro Football,0,approved,1,0,1486055177,Jim,66944705.0,louisiana,,,News
1486055159,58927e0495d0e0392607e1b3,1129,It's easy - Don't watch.,21332389.0,21332389.0,<br/>,comment,1486004976,1.0,0,0,Sports,0.0,,21332389,https://graphics8.nytimes.com/images/apps/timespeople/none.png,12,0,,0,,Pro Football,0,approved,1,0,1486055159,Turbot,50151976.0,"Philadelphia, PA",,,News
1486055065,58927e0495d0e0392607e1b3,1129,Leftist NFL commish seems determined to anger the devoted NFL fans in a seemingly mad attempt to gain favor with the pansy elite class.  I'm shocked at how long the 32 rich white guys who own the teams have allowed him to turnoff their audience and diminish the shield.  I guess you can have too much money...,21332184.0,21332184.0,n/a,comment,1486002855,1.0,0,0,Sports,0.0,,21332184,https://graphics8.nytimes.com/images/apps/timespeople/none.png,12,0,,0,,Pro Football,0,approved,1,0,1486055065,Nigel,71563058.0,NC,,,News
1486055039,58927e0495d0e0392607e1b3,1129,"Politics is bad for sports, period.  ",21332065.0,21332065.0,<br/>,comment,1486001690,1.0,0,0,Sports,0.0,,21332065,https://graphics8.nytimes.com/images/apps/timespeople/none.png,12,0,,0,,Pro Football,0,approved,1,0,1486055039,tommy,71978702.0,Va,,,News
1486055030,58927e0495d0e0392607e1b3,1129,"I won't be watching, just like the rest of the season.  I was an avid football fan and watched every game, every season, until a member of my team took a knee for the National Anthem.  Since the NFL has done NOTHING to stem this, I'm out.  As far as I'm concerned the NFL is un-American.  I can only hope the players in MLB don't follow suit, but decide to play ball and leave the politics out.",21332005.0,21332005.0,<br/>,comment,1486000949,1.0,0,0,Sports,0.0,,21332005,https://graphics8.nytimes.com/images/apps/timespeople/none.png,12,0,,0,,Pro Football,0,approved,1,0,1486055030,Sherry,60354534.0,Chico CA,,,News
1486055018,58927e0495d0e0392607e1b3,1129,roger should remember who watches football,21331995.0,21331995.0,<br/>,comment,1486000811,1.0,0,0,Sports,0.0,,21331995,https://graphics8.nytimes.com/images/apps/timespeople/none.png,12,0,,0,,Pro Football,0,approved,1,0,1486055018,billy,75759310.0,fl,,,News
1486055011,58927e0495d0e0392607e1b3,1129,"How stupid are they? The NFL is already seeing a drop in revenues by allowing the injection of Politics into the games, and it does not matter if it comes from Players or owners.  Budweiser is already losing customers and the game has not even been played. The NFL will be making a huge mistake bringing Politics into the Superbowl. Bringing this drama into the game is lose-lose. The only smart thing for the NFL to do is to leave the politics where it belongs - outside the stadium. ",21331934.0,21331934.0,<br/>,comment,1486000244,1.0,0,0,Sports,0.0,,21331934,https://graphics8.nytimes.com/images/apps/timespeople/none.png,12,0,,0,,Pro Football,0,approved,1,0,1486055011,Reality Jones,70556874.0,FL,,,News
1486054347,58927e0495d0e0392607e1b3,1129,"Yes, let's all just shuffle this stuff to the side, sweep it under the carpet, see no evil, hear no evil. We're an American corporation, you know. We're in it for the money, not the country. <br/><br/>Trump, you should have lost by 4 touchdowns. Instead, we did.",21331889.0,21331889.0,<br/>,comment,1485999722,1.0,0,0,Sports,0.0,,21331889,https://s3.amazonaws.com/pimage.timespeople.nytimes.com/6656/7467/cropped-66567467.jpg?0.38136409991420805,12,0,,0,,Pro Football,0,approved,1,0,1486054347,Marc Schenker,66567467.0,Ft. Lauderdale,,,News
